Date,Close
1986-08-13,0.21
1986-08-14,0.22
1986-08-15,0.22
1986-08-18,0.21
1986-08-19,0.21
1986-08-20,0.21
1986-08-21,0.22
1986-08-22,0.22
1986-08-25,0.21
1986-08-26,0.21
1986-08-27,0.21
1986-08-28,0.21
1986-08-29,0.21
1986-09-02,0.22
1986-09-03,0.22
1986-09-04,0.25
1986-09-05,0.25
1986-09-08,0.24
1986-09-09,0.25
1986-09-10,0.26
1986-09-11,0.23
1986-09-12,0.23
1986-09-15,0.26
1986-09-16,0.27
1986-09-17,0.29
1986-09-18,0.29
1986-09-19,0.29
1986-09-22,0.28
1986-09-23,0.27
1986-09-24,0.27
1986-09-25,0.27
1986-09-26,0.27
1986-09-29,0.27
1986-09-30,0.27
1986-10-01,0.27
1986-10-02,0.27
1986-10-03,0.27
1986-10-06,0.27
1986-10-07,0.27
1986-10-08,0.27
1986-10-09,0.27
1986-10-10,0.27
1986-10-13,0.28
1986-10-14,0.28
1986-10-15,0.28
1986-10-16,0.28
1986-10-17,0.28
1986-10-20,0.28
1986-10-21,0.29
1986-10-22,0.29
1986-10-23,0.29
1986-10-24,0.32
1986-10-27,0.32
1986-10-28,0.32
1986-10-29,0.35
1986-10-30,0.37
1986-10-31,0.37
1986-11-03,0.35
1986-11-04,0.34
1986-11-05,0.34
1986-11-06,0.35
1986-11-07,0.35
1986-11-10,0.36
1986-11-11,0.36
1986-11-12,0.36
1986-11-13,0.36
1986-11-14,0.36
1986-11-17,0.36
1986-11-18,0.35
1986-11-19,0.35
1986-11-20,0.35
1986-11-21,0.35
1986-11-24,0.35
1986-11-25,0.35
1986-11-26,0.37
1986-11-28,0.38
1986-12-01,0.38
1986-12-02,0.39
1986-12-03,0.38
1986-12-04,0.39
1986-12-05,0.39
1986-12-08,0.41
1986-12-09,0.40
1986-12-10,0.40
1986-12-11,0.37
1986-12-12,0.38
1986-12-15,0.37
1986-12-16,0.37
1986-12-17,0.36
1986-12-18,0.37
1986-12-19,0.37
1986-12-22,0.37
1986-12-23,0.38
1986-12-24,0.39
1986-12-26,0.40
1986-12-29,0.39
1986-12-30,0.39
1986-12-31,0.40
1987-01-02,0.41
1987-01-05,0.42
1987-01-06,0.42
1987-01-07,0.43
1987-01-08,0.44
1987-01-09,0.44
1987-01-12,0.46
1987-01-13,0.47
1987-01-14,0.48
1987-01-15,0.48
1987-01-16,0.49
1987-01-19,0.51
1987-01-20,0.54
1987-01-21,0.54
1987-01-22,0.53
1987-01-23,0.57
1987-01-26,0.55
1987-01-27,0.56
1987-01-28,0.56
1987-01-29,0.54
1987-01-30,0.53
1987-02-02,0.54
1987-02-03,0.55
1987-02-04,0.56
1987-02-05,0.58
1987-02-06,0.58
1987-02-09,0.58
1987-02-10,0.59
1987-02-11,0.63
1987-02-12,0.67
1987-02-13,0.70
1987-02-17,0.71
1987-02-18,0.72
1987-02-19,0.69
1987-02-20,0.63
1987-02-23,0.65
1987-02-24,0.69
1987-02-25,0.70
1987-02-26,0.70
1987-02-27,0.71
1987-03-02,0.71
1987-03-03,0.80
1987-03-04,0.86
1987-03-05,0.87
1987-03-06,0.86
1987-03-09,0.88
1987-03-10,0.89
1987-03-11,0.93
1987-03-12,0.96
1987-03-13,1.05
1987-03-16,1.09
1987-03-17,1.05
1987-03-18,1.00
1987-03-19,1.02
1987-03-20,0.98
1987-03-23,0.89
1987-03-24,0.92
1987-03-25,0.94
1987-03-26,1.00
1987-03-27,1.03
1987-03-30,0.98
1987-03-31,1.08
1987-04-01,1.13
1987-04-02,1.25
1987-04-03,1.23
1987-04-06,1.30
1987-04-07,1.32
1987-04-08,1.32
1987-04-09,1.26
1987-04-10,1.23
1987-04-13,1.22
1987-04-14,1.13
1987-04-15,1.16
1987-04-16,1.27
1987-04-20,1.20
1987-04-21,1.27
1987-04-22,1.31
1987-04-23,1.30
1987-04-24,1.30
1987-04-27,1.30
1987-04-28,1.43
1987-04-29,1.52
1987-04-30,1.52
1987-05-01,1.52
1987-05-04,1.51
1987-05-05,1.69
1987-05-06,1.66
1987-05-07,1.69
1987-05-08,1.69
1987-05-11,1.65
1987-05-12,1.61
1987-05-13,1.64
1987-05-14,1.66
1987-05-15,1.59
1987-05-18,1.59
1987-05-19,1.47
1987-05-20,1.48
1987-05-21,1.52
1987-05-22,1.52
1987-05-26,1.51
1987-05-27,1.51
1987-05-28,1.51
1987-05-29,1.50
1987-06-01,1.48
1987-06-02,1.48
1987-06-03,1.39
1987-06-04,1.33
1987-06-05,1.25
1987-06-08,1.08
1987-06-09,1.20
1987-06-10,1.14
1987-06-11,1.03
1987-06-12,1.05
1987-06-15,0.98
1987-06-16,1.14
1987-06-17,1.19
1987-06-18,1.17
1987-06-19,1.16
1987-06-22,1.16
1987-06-23,1.16
1987-06-24,1.14
1987-06-25,1.06
1987-06-26,1.13
1987-06-29,1.09
1987-06-30,1.09
1987-07-01,1.09
1987-07-02,1.11
1987-07-06,1.05
1987-07-07,0.95
1987-07-08,1.05
1987-07-09,1.08
1987-07-10,1.04
1987-07-13,1.02
1987-07-14,1.13
1987-07-15,1.08
1987-07-16,1.05
1987-07-17,1.05
1987-07-20,1.03
1987-07-21,1.04
1987-07-22,1.02
1987-07-23,0.99
1987-07-24,1.01
1987-07-27,1.09
1987-07-28,1.04
1987-07-29,1.00
1987-07-30,1.02
1987-07-31,1.03
1987-08-03,1.00
1987-08-04,0.99
1987-08-05,1.02
1987-08-06,1.06
1987-08-07,1.14
1987-08-10,1.16
1987-08-11,1.21
1987-08-12,1.16
1987-08-13,1.16
1987-08-14,1.13
1987-08-17,1.16
1987-08-18,1.09
1987-08-19,1.10
1987-08-20,1.16
1987-08-21,1.12
1987-08-24,1.10
1987-08-25,1.16
1987-08-26,1.11
1987-08-27,1.11
1987-08-28,1.05
1987-08-31,1.01
1987-09-01,1.05
1987-09-02,1.04
1987-09-03,1.05
1987-09-04,1.05
1987-09-08,1.02
1987-09-09,1.05
1987-09-10,1.14
1987-09-11,1.13
1987-09-14,1.10
1987-09-15,1.07
1987-09-16,1.09
1987-09-17,1.17
1987-09-18,1.19
1987-09-21,1.14
1987-09-22,1.16
1987-09-23,1.16
1987-09-24,1.16
1987-09-25,1.19
1987-09-28,1.23
1987-09-29,1.24
1987-09-30,1.20
1987-10-01,1.27
1987-10-02,1.39
1987-10-05,1.41
1987-10-06,1.34
1987-10-07,1.28
1987-10-08,1.22
1987-10-09,1.22
1987-10-12,1.20
1987-10-13,1.20
1987-10-14,1.22
1987-10-15,1.23
1987-10-16,1.19
1987-10-19,0.94
1987-10-20,0.83
1987-10-21,0.88
1987-10-22,0.78
1987-10-23,0.67
1987-10-26,0.52
1987-10-27,0.46
1987-10-28,0.46
1987-10-29,0.61
1987-10-30,0.70
1987-11-02,0.78
1987-11-03,0.73
1987-11-04,0.73
1987-11-05,0.75
1987-11-06,0.70
1987-11-09,0.72
1987-11-10,0.70
1987-11-11,0.72
1987-11-12,0.78
1987-11-13,0.73
1987-11-16,0.73
1987-11-17,0.72
1987-11-18,0.73
1987-11-19,0.70
1987-11-20,0.69
1987-11-23,0.73
1987-11-24,0.77
1987-11-25,0.83
1987-11-27,0.81
1987-11-30,0.76
1987-12-01,0.76
1987-12-02,0.78
1987-12-03,0.76
1987-12-04,0.75
1987-12-07,0.73
1987-12-08,0.77
1987-12-09,0.83
1987-12-10,0.85
1987-12-11,0.86
1987-12-14,0.92
1987-12-15,0.92
1987-12-16,0.92
1987-12-17,0.88
1987-12-18,0.89
1987-12-21,0.90
1987-12-22,0.88
1987-12-23,0.85
1987-12-24,0.84
1987-12-28,0.84
1987-12-29,0.87
1987-12-30,0.91
1987-12-31,0.92
1988-01-04,0.93
1988-01-05,0.96
1988-01-06,0.91
1988-01-07,0.91
1988-01-08,0.84
1988-01-11,0.81
1988-01-12,0.90
1988-01-13,0.90
1988-01-14,0.88
1988-01-15,0.92
1988-01-18,0.89
1988-01-19,0.88
1988-01-20,0.78
1988-01-21,0.78
1988-01-22,0.80
1988-01-25,0.83
1988-01-26,0.80
1988-01-27,0.80
1988-01-28,0.82
1988-01-29,0.83
1988-02-01,0.82
1988-02-02,0.81
1988-02-03,0.77
1988-02-04,0.75
1988-02-05,0.76
1988-02-08,0.75
1988-02-09,0.80
1988-02-10,0.83
1988-02-11,0.80
1988-02-12,0.81
1988-02-16,0.81
1988-02-17,0.80
1988-02-18,0.84
1988-02-19,0.89
1988-02-22,0.91
1988-02-23,0.93
1988-02-24,0.94
1988-02-25,0.95
1988-02-26,0.90
1988-02-29,0.91
1988-03-01,0.94
1988-03-02,0.97
1988-03-03,1.01
1988-03-04,1.00
1988-03-07,1.00
1988-03-08,1.02
1988-03-09,1.03
1988-03-10,0.97
1988-03-11,0.96
1988-03-14,1.00
1988-03-15,1.00
1988-03-16,0.97
1988-03-17,0.93
1988-03-18,0.94
1988-03-21,1.02
1988-03-22,1.04
1988-03-23,1.02
1988-03-24,1.02
1988-03-25,0.98
1988-03-28,0.98
1988-03-29,1.00
1988-03-30,0.98
1988-03-31,0.97
1988-04-04,0.93
1988-04-05,0.94
1988-04-06,0.99
1988-04-07,0.99
1988-04-08,1.05
1988-04-11,1.07
1988-04-12,1.07
1988-04-13,1.04
1988-04-14,0.99
1988-04-15,1.03
1988-04-18,1.05
1988-04-19,1.06
1988-04-20,1.05
1988-04-21,1.05
1988-04-22,1.06
1988-04-25,1.07
1988-04-26,1.09
1988-04-27,1.11
1988-04-28,1.12
1988-04-29,1.09
1988-05-02,1.13
1988-05-03,1.14
1988-05-04,1.15
1988-05-05,1.13
1988-05-06,1.13
1988-05-09,1.09
1988-05-10,1.10
1988-05-11,1.09
1988-05-12,1.08
1988-05-13,1.05
1988-05-16,1.09
1988-05-17,1.07
1988-05-18,1.05
1988-05-19,1.02
1988-05-20,1.01
1988-05-23,1.00
1988-05-24,1.04
1988-05-25,1.02
1988-05-26,1.06
1988-05-27,1.05
1988-05-31,1.10
1988-06-01,1.14
1988-06-02,1.14
1988-06-03,1.19
1988-06-06,1.19
1988-06-07,1.20
1988-06-08,1.24
1988-06-09,1.22
1988-06-10,1.23
1988-06-13,1.23
1988-06-14,1.22
1988-06-15,1.18
1988-06-16,1.19
1988-06-17,1.18
1988-06-20,1.22
1988-06-21,1.23
1988-06-22,1.23
1988-06-23,1.24
1988-06-24,1.24
1988-06-27,1.22
1988-06-28,1.23
1988-06-29,1.24
1988-06-30,1.26
1988-07-01,1.27
1988-07-05,1.26
1988-07-06,1.27
1988-07-07,1.36
1988-07-08,1.35
1988-07-11,1.36
1988-07-12,1.30
1988-07-13,1.33
1988-07-14,1.37
1988-07-15,1.37
1988-07-18,1.36
1988-07-19,1.34
1988-07-20,1.29
1988-07-21,1.27
1988-07-22,1.29
1988-07-25,1.34
1988-07-26,1.34
1988-07-27,1.30
1988-07-28,1.30
1988-07-29,1.30
1988-08-01,1.30
1988-08-02,1.30
1988-08-03,1.31
1988-08-04,1.29
1988-08-05,1.27
1988-08-08,1.27
1988-08-09,1.23
1988-08-10,1.19
1988-08-11,1.20
1988-08-12,1.19
1988-08-15,1.16
1988-08-16,1.19
1988-08-17,1.17
1988-08-18,1.13
1988-08-19,1.09
1988-08-22,1.10
1988-08-23,1.11
1988-08-24,1.13
1988-08-25,1.16
1988-08-26,1.17
1988-08-29,1.22
1988-08-30,1.23
1988-08-31,1.22
1988-09-01,1.18
1988-09-02,1.20
1988-09-06,1.21
1988-09-07,1.16
1988-09-08,1.18
1988-09-09,1.24
1988-09-12,1.24
1988-09-13,1.23
1988-09-14,1.27
1988-09-15,1.26
1988-09-16,1.27
1988-09-19,1.26
1988-09-20,1.33
1988-09-21,1.37
1988-09-22,1.36
1988-09-23,1.34
1988-09-26,1.31
1988-09-27,1.31
1988-09-28,1.30
1988-09-29,1.35
1988-09-30,1.36
1988-10-03,1.37
1988-10-04,1.41
1988-10-05,1.40
1988-10-06,1.42
1988-10-07,1.38
1988-10-10,1.38
1988-10-11,1.39
1988-10-12,1.38
1988-10-13,1.38
1988-10-14,1.43
1988-10-17,1.43
1988-10-18,1.44
1988-10-19,1.48
1988-10-20,1.54
1988-10-21,1.53
1988-10-24,1.52
1988-10-25,1.46
1988-10-26,1.43
1988-10-27,1.38
1988-10-28,1.36
1988-10-31,1.34
1988-11-01,1.40
1988-11-02,1.35
1988-11-03,1.36
1988-11-04,1.37
1988-11-07,1.34
