Date,Close
1972-06-01,3.69
1972-06-02,3.68
1972-06-05,3.60
1972-06-06,3.41
1972-06-07,3.37
1972-06-08,3.45
1972-06-09,3.43
1972-06-12,3.48
1972-06-13,3.48
1972-06-14,3.44
1972-06-15,3.40
1972-06-16,3.40
1972-06-19,3.36
1972-06-20,3.37
1972-06-21,3.44
1972-06-22,3.51
1972-06-23,3.33
1972-06-26,3.23
1972-06-27,3.37
1972-06-28,3.40
1972-06-29,3.48
1972-06-30,3.59
1972-07-03,3.73
1972-07-05,3.86
1972-07-06,3.86
1972-07-07,3.80
1972-07-10,3.77
1972-07-11,3.77
1972-07-12,3.77
1972-07-13,3.61
1972-07-14,3.64
1972-07-17,3.60
1972-07-18,3.64
1972-07-19,3.64
1972-07-20,3.45
1972-07-21,3.52
1972-07-24,3.59
1972-07-25,3.56
1972-07-26,3.56
1972-07-27,3.55
1972-07-28,3.56
1972-07-31,3.56
1972-08-01,3.65
1972-08-02,3.88
1972-08-03,3.94
1972-08-04,3.95
1972-08-07,3.94
1972-08-08,3.89
1972-08-09,3.89
1972-08-10,4.00
1972-08-11,4.04
1972-08-14,4.01
1972-08-15,3.97
1972-08-16,3.94
1972-08-17,3.86
1972-08-18,3.88
1972-08-21,3.86
1972-08-22,3.81
1972-08-23,3.73
1972-08-24,3.71
1972-08-25,3.71
1972-08-28,3.71
1972-08-29,3.77
1972-08-30,3.86
1972-08-31,3.85
1972-09-01,3.99
1972-09-05,3.92
1972-09-06,3.79
1972-09-07,3.80
1972-09-08,3.72
1972-09-11,3.61
1972-09-12,3.52
1972-09-13,3.60
1972-09-14,3.64
1972-09-15,3.65
1972-09-18,3.69
1972-09-19,3.73
1972-09-20,3.85
1972-09-21,3.77
1972-09-22,3.77
1972-09-25,3.73
1972-09-26,3.77
1972-09-27,4.00
1972-09-28,4.01
1972-09-29,3.97
1972-10-02,3.99
1972-10-03,4.01
1972-10-04,3.97
1972-10-05,3.77
1972-10-06,3.83
1972-10-09,3.90
1972-10-10,3.85
1972-10-11,3.72
1972-10-12,3.71
1972-10-13,3.67
1972-10-16,3.64
1972-10-17,3.73
1972-10-18,3.88
1972-10-19,3.85
1972-10-20,3.99
1972-10-23,3.93
1972-10-24,3.96
1972-10-25,3.96
1972-10-26,3.96
1972-10-27,3.95
1972-10-30,3.97
1972-10-31,3.96
1972-11-01,3.93
1972-11-02,3.92
1972-11-03,3.93
1972-11-06,4.01
1972-11-08,4.11
1972-11-09,4.10
1972-11-10,4.11
1972-11-13,4.18
1972-11-14,4.18
1972-11-15,4.10
1972-11-16,4.02
1972-11-17,3.99
1972-11-20,3.93
1972-11-21,3.95
1972-11-22,3.99
1972-11-24,4.05
1972-11-27,4.01
1972-11-28,3.96
1972-11-29,3.93
1972-11-30,3.93
1972-12-01,4.02
1972-12-04,4.11
1972-12-05,4.13
1972-12-06,4.11
1972-12-07,4.11
1972-12-08,4.09
1972-12-11,4.07
1972-12-12,4.05
1972-12-13,4.01
1972-12-14,4.01
1972-12-15,4.02
1972-12-18,4.02
1972-12-19,4.05
1972-12-20,4.08
1972-12-21,4.02
1972-12-22,4.02
1972-12-26,4.01
1972-12-27,4.10
1972-12-29,4.17
1973-01-02,4.21
1973-01-03,4.39
1973-01-04,4.40
1973-01-05,4.39
1973-01-08,4.36
1973-01-09,4.33
1973-01-10,4.28
1973-01-11,4.35
1973-01-12,4.36
1973-01-15,4.35
1973-01-16,4.35
1973-01-17,4.33
1973-01-18,4.40
1973-01-19,4.48
1973-01-22,4.43
1973-01-23,4.43
1973-01-24,4.23
1973-01-26,4.17
1973-01-29,4.06
1973-01-30,4.10
1973-01-31,4.05
1973-02-01,3.91
1973-02-02,3.94
1973-02-05,3.99
1973-02-06,4.05
1973-02-07,3.99
1973-02-08,4.04
1973-02-09,4.12
1973-02-12,4.12
1973-02-13,4.15
1973-02-14,4.03
1973-02-15,4.02
1973-02-16,4.03
1973-02-20,4.08
1973-02-21,3.99
1973-02-22,3.96
1973-02-23,3.73
1973-02-26,3.85
1973-02-27,3.80
