Date,Close
1972-06-01,1.87
1972-06-02,1.88
1972-06-05,1.89
1972-06-06,1.88
1972-06-07,1.87
1972-06-08,1.88
1972-06-09,1.86
1972-06-12,1.87
1972-06-13,1.87
1972-06-14,1.84
1972-06-15,1.86
1972-06-16,1.84
1972-06-19,1.85
1972-06-20,1.86
1972-06-21,1.86
1972-06-22,1.84
1972-06-23,1.82
1972-06-26,1.84
1972-06-27,1.83
1972-06-28,1.84
1972-06-29,1.85
1972-06-30,1.86
1972-07-03,1.85
1972-07-05,1.86
1972-07-06,1.86
1972-07-07,1.86
1972-07-10,1.86
1972-07-11,1.85
1972-07-12,1.85
1972-07-13,1.86
1972-07-14,1.86
1972-07-17,1.84
1972-07-18,1.84
1972-07-19,1.85
1972-07-20,1.87
1972-07-21,1.88
1972-07-24,1.88
1972-07-25,1.90
1972-07-26,1.90
1972-07-27,1.91
1972-07-28,1.91
1972-07-31,1.91
1972-08-01,1.93
1972-08-02,2.01
1972-08-03,2.05
1972-08-04,2.07
1972-08-07,2.05
1972-08-08,2.06
1972-08-09,2.08
1972-08-10,2.15
1972-08-11,2.14
1972-08-14,2.09
1972-08-15,2.08
1972-08-16,2.06
1972-08-17,2.04
1972-08-18,2.04
1972-08-21,2.03
1972-08-22,2.06
1972-08-23,2.02
1972-08-24,2.00
1972-08-25,2.00
1972-08-28,1.99
1972-08-29,2.00
1972-08-30,1.99
1972-08-31,2.04
1972-09-01,2.04
1972-09-05,2.02
1972-09-06,2.00
1972-09-07,2.00
1972-09-08,2.00
1972-09-11,1.99
1972-09-12,1.97
1972-09-13,1.96
1972-09-14,1.97
1972-09-15,1.97
1972-09-18,1.97
1972-09-19,1.98
1972-09-20,1.98
1972-09-21,1.96
1972-09-22,1.96
1972-09-25,1.92
1972-09-26,1.91
1972-09-27,1.96
1972-09-28,1.94
1972-09-29,1.93
1972-10-02,1.90
1972-10-03,1.88
1972-10-04,1.88
1972-10-05,1.85
1972-10-06,1.87
1972-10-09,1.90
1972-10-10,1.90
1972-10-11,1.89
1972-10-12,1.88
1972-10-13,1.90
1972-10-16,1.88
1972-10-17,1.97
1972-10-18,1.98
1972-10-19,1.96
1972-10-20,1.94
1972-10-23,1.99
1972-10-24,2.01
1972-10-25,2.03
1972-10-26,2.05
1972-10-27,2.04
1972-10-30,2.04
1972-10-31,2.02
1972-11-01,2.05
1972-11-02,2.03
1972-11-03,2.02
1972-11-06,2.02
1972-11-08,2.02
1972-11-09,2.00
1972-11-10,1.97
1972-11-13,1.96
1972-11-14,1.93
1972-11-15,1.92
1972-11-16,1.90
1972-11-17,1.91
1972-11-20,1.91
1972-11-21,1.90
1972-11-22,1.91
1972-11-24,1.93
1972-11-27,1.93
1972-11-28,1.90
1972-11-29,1.91
1972-11-30,1.93
1972-12-01,1.94
1972-12-04,1.96
1972-12-05,1.97
1972-12-06,1.99
1972-12-07,2.02
1972-12-08,2.04
1972-12-11,2.04
1972-12-12,2.04
1972-12-13,2.04
1972-12-14,2.01
1972-12-15,2.00
1972-12-18,2.00
1972-12-19,2.00
1972-12-20,1.99
1972-12-21,1.96
1972-12-22,1.99
1972-12-26,1.99
1972-12-27,1.99
1972-12-29,2.05
1973-01-02,2.04
1973-01-03,2.05
1973-01-04,2.10
1973-01-05,2.11
1973-01-08,2.09
1973-01-09,2.12
1973-01-10,2.11
1973-01-11,2.11
1973-01-12,2.05
1973-01-15,2.02
1973-01-16,2.05
1973-01-17,2.07
1973-01-18,2.08
1973-01-19,2.04
1973-01-22,2.04
1973-01-23,2.06
1973-01-24,2.02
1973-01-26,2.04
1973-01-29,2.04
1973-01-30,2.03
1973-01-31,2.04
1973-02-01,2.02
1973-02-02,2.02
1973-02-05,2.02
1973-02-06,2.06
1973-02-07,2.00
1973-02-08,1.99
1973-02-09,1.99
1973-02-12,2.07
1973-02-13,2.06
1973-02-14,2.05
1973-02-15,2.02
1973-02-16,2.01
1973-02-20,2.02
1973-02-21,1.99
