Date,Close
2000-08-22,32.05
2000-08-23,31.63
2000-08-24,32.05
2000-08-27,32.87
2000-08-28,32.72
2000-08-29,33.40
2000-08-30,33.10
2000-08-31,33.38
2000-09-04,33.80
2000-09-05,34.95
2000-09-06,35.33
2000-09-07,33.70
2000-09-10,35.10
2000-09-11,34.20
2000-09-12,33.80
2000-09-13,34.10
2000-09-14,35.85
2000-09-17,36.88
2000-09-18,36.50
2000-09-19,37.50
2000-09-20,33.95
2000-09-21,32.65
2000-09-24,31.57
2000-09-25,31.50
2000-09-26,31.50
2000-09-27,30.30
2000-09-28,30.86
2000-10-01,32.15
2000-10-02,32.07
2000-10-03,31.50
2000-10-04,30.65
2000-10-05,30.85
2000-10-08,31.88
2000-10-09,33.15
2000-10-10,33.15
2000-10-11,36.10
2000-10-12,35.05
2000-10-15,33.10
2000-10-16,32.95
2000-10-17,33.55
2000-10-18,32.95
2000-10-19,34.30
2000-10-22,33.73
2000-10-23,33.37
2000-10-24,32.96
2000-10-25,33.75
2000-10-26,32.70
2000-10-29,32.81
2000-10-30,32.69
2000-10-31,33.20
2000-11-01,32.54
2000-11-02,32.60
2000-11-05,32.86
2000-11-06,33.40
2000-11-07,33.29
2000-11-08,33.95
2000-11-09,34.09
2000-11-12,34.43
2000-11-13,34.85
2000-11-14,35.60
2000-11-15,35.05
2000-11-16,35.60
2000-11-19,35.22
2000-11-20,35.15
2000-11-21,35.40
2000-11-26,35.38
2000-11-27,34.25
2000-11-28,34.63
2000-11-29,33.80
2000-11-30,32.05
2000-12-03,31.30
2000-12-04,29.55
2000-12-05,29.85
2000-12-06,29.36
2000-12-07,28.50
2000-12-10,29.45
2000-12-11,29.69
2000-12-12,28.50
2000-12-13,27.90
2000-12-14,28.85
2000-12-17,29.65
2000-12-18,28.80
2000-12-19,25.67
2000-12-20,26.05
2000-12-21,26.18
2000-12-25,26.65
2000-12-26,26.45
2000-12-27,25.85
2000-12-28,26.80
2001-01-01,27.20
2001-01-02,27.95
2001-01-03,28.20
2001-01-04,28.00
2001-01-07,27.35
2001-01-08,27.72
2001-01-09,29.50
2001-01-10,29.50
2001-01-11,30.05
2001-01-15,30.35
2001-01-16,29.65
2001-01-17,30.45
2001-01-18,32.10
2001-01-21,32.00
2001-01-22,29.57
2001-01-23,29.05
2001-01-24,29.36
2001-01-25,29.78
2001-01-28,29.06
2001-01-29,29.06
2001-01-30,28.70
2001-01-31,29.80
2001-02-01,31.25
2001-02-04,30.50
2001-02-05,30.35
2001-02-06,31.20
2001-02-07,31.56
2001-02-08,31.05
2001-02-11,30.55
2001-02-12,30.34
2001-02-13,29.75
2001-02-14,28.80
2001-02-15,29.16
2001-02-19,28.58
2001-02-20,28.55
2001-02-21,28.82
2001-02-22,29.00
2001-02-25,28.44
2001-02-26,28.12
2001-02-27,27.42
2001-02-28,27.65
2001-03-01,27.84
2001-03-04,28.60
2001-03-05,28.30
2001-03-06,28.95
2001-03-07,28.49
2001-03-08,27.80
2001-03-11,28.00
2001-03-12,27.45
2001-03-13,26.45
2001-03-14,26.65
2001-03-15,26.70
2001-03-18,26.18
2001-03-19,25.90
2001-03-20,26.80
2001-03-21,26.52
2001-03-22,27.30
2001-03-25,27.46
2001-03-26,27.75
2001-03-27,26.25
2001-03-28,26.35
2001-03-29,26.40
2001-04-01,25.59
2001-04-02,26.19
2001-04-03,27.12
