Date,Close
1999-11-01,30.94
1999-11-02,31.00
1999-11-03,31.13
1999-11-04,31.50
1999-11-05,32.25
1999-11-08,34.75
1999-11-09,35.44
1999-11-10,34.06
1999-11-11,34.06
1999-11-12,34.25
1999-11-15,34.63
1999-11-16,35.88
1999-11-17,33.75
1999-11-18,35.81
1999-11-19,36.31
1999-11-22,35.81
1999-11-23,35.44
1999-11-24,36.38
1999-11-26,35.75
1999-11-29,35.00
1999-11-30,35.50
1999-12-01,35.63
1999-12-02,36.25
1999-12-03,37.00
1999-12-06,36.50
1999-12-07,36.38
1999-12-08,35.81
1999-12-09,35.44
1999-12-10,35.88
1999-12-13,36.75
1999-12-14,35.56
1999-12-15,36.50
1999-12-16,38.13
1999-12-17,37.50
1999-12-20,38.81
1999-12-21,38.13
1999-12-22,38.44
1999-12-23,39.19
1999-12-27,39.13
1999-12-28,38.75
1999-12-29,38.63
1999-12-30,38.63
1999-12-31,38.31
2000-01-03,38.09
2000-01-04,35.50
2000-01-05,37.56
2000-01-06,36.78
2000-01-07,38.16
2000-01-10,38.06
2000-01-11,34.13
2000-01-12,35.63
2000-01-13,38.00
2000-01-14,36.44
2000-01-18,36.00
2000-01-19,36.81
2000-01-20,36.75
2000-01-21,35.69
2000-01-24,34.02
2000-01-25,35.69
2000-01-26,35.06
2000-01-27,34.81
2000-01-28,32.75
2000-01-31,33.94
2000-02-01,34.38
2000-02-02,36.38
2000-02-03,36.06
2000-02-04,34.94
2000-02-07,35.06
2000-02-08,36.13
2000-02-09,35.00
2000-02-10,36.19
2000-02-11,34.00
2000-02-14,33.94
2000-02-15,33.06
2000-02-16,32.00
2000-02-17,30.25
2000-02-18,27.31
2000-02-22,27.94
2000-02-23,28.38
2000-02-24,28.00
2000-02-25,28.13
2000-02-28,26.88
2000-02-29,27.25
2000-03-01,27.50
2000-03-02,26.56
2000-03-03,27.44
2000-03-06,26.56
2000-03-07,27.00
2000-03-08,28.94
2000-03-09,32.13
2000-03-10,34.13
2000-03-13,31.88
2000-03-14,32.13
2000-03-15,32.50
2000-03-16,33.69
2000-03-17,32.06
2000-03-20,33.00
2000-03-21,35.53
2000-03-22,35.50
2000-03-23,36.06
2000-03-24,36.19
2000-03-27,37.06
2000-03-28,36.44
2000-03-29,36.38
2000-03-30,35.75
2000-03-31,37.19
2000-04-03,37.88
2000-04-04,37.25
2000-04-05,34.75
2000-04-06,36.81
2000-04-07,36.94
2000-04-10,36.06
2000-04-11,35.75
2000-04-12,37.75
2000-04-13,37.31
2000-04-14,34.13
2000-04-17,35.75
2000-04-18,35.94
2000-04-19,35.38
2000-04-20,37.13
2000-04-24,37.13
2000-04-25,42.00
2000-04-26,42.63
2000-04-27,46.00
2000-04-28,45.94
2000-05-01,46.25
2000-05-02,45.13
2000-05-03,42.75
2000-05-04,45.06
2000-05-05,46.06
2000-05-08,43.81
2000-05-09,44.38
2000-05-10,42.06
2000-05-11,43.63
2000-05-12,43.94
2000-05-15,45.06
2000-05-16,45.81
