Date,Close
1970-01-02,3.83
1970-01-05,3.81
1970-01-06,3.69
1970-01-07,3.71
1970-01-08,3.74
1970-01-09,3.65
1970-01-12,3.64
1970-01-13,3.66
1970-01-14,3.73
1970-01-15,3.73
1970-01-16,3.71
1970-01-19,3.64
1970-01-20,3.66
1970-01-21,3.69
1970-01-22,3.70
1970-01-23,3.64
1970-01-26,3.64
1970-01-27,3.70
1970-01-28,3.70
1970-01-29,3.66
1970-01-30,3.61
1970-02-02,3.65
1970-02-03,3.63
1970-02-04,3.63
1970-02-05,3.49
1970-02-06,3.50
1970-02-09,3.50
1970-02-10,3.44
1970-02-11,3.51
1970-02-12,3.49
1970-02-13,3.44
1970-02-16,3.46
1970-02-17,3.43
1970-02-18,3.47
1970-02-19,3.47
1970-02-20,3.43
1970-02-24,3.44
1970-02-25,3.45
1970-02-26,3.43
1970-02-27,3.52
1970-03-02,3.58
1970-03-03,3.69
1970-03-04,3.72
1970-03-05,3.73
1970-03-06,3.71
1970-03-09,3.68
1970-03-10,3.67
1970-03-11,3.59
1970-03-12,3.56
1970-03-13,3.51
1970-03-16,3.45
1970-03-17,3.51
1970-03-18,3.51
1970-03-19,3.50
1970-03-20,3.49
1970-03-23,3.54
1970-03-24,3.58
1970-03-25,3.69
1970-03-26,3.70
1970-03-30,3.67
1970-03-31,3.68
1970-04-01,3.72
1970-04-02,3.72
1970-04-03,3.71
1970-04-06,3.72
1970-04-07,3.76
1970-04-08,3.75
1970-04-09,3.79
1970-04-10,3.81
1970-04-13,3.80
1970-04-14,3.73
1970-04-15,3.74
1970-04-16,3.76
1970-04-17,3.78
1970-04-20,3.78
1970-04-21,3.79
1970-04-22,3.71
1970-04-23,3.66
1970-04-24,3.62
1970-04-27,3.53
1970-04-28,3.48
1970-04-29,3.56
1970-04-30,3.56
1970-05-01,3.56
1970-05-04,3.44
1970-05-05,3.40
1970-05-06,3.46
1970-05-07,3.50
1970-05-08,3.46
1970-05-11,3.46
1970-05-12,3.42
1970-05-13,3.32
1970-05-14,3.28
1970-05-15,3.33
1970-05-18,3.36
1970-05-19,3.34
1970-05-20,3.21
1970-05-21,3.17
1970-05-22,3.18
1970-05-25,3.08
1970-05-26,3.02
1970-05-27,3.14
1970-05-28,3.19
1970-05-29,3.31
1970-06-01,3.36
1970-06-02,3.34
1970-06-03,3.40
1970-06-04,3.38
1970-06-05,3.33
1970-06-08,3.36
1970-06-09,3.36
1970-06-10,3.32
1970-06-11,3.30
1970-06-12,3.29
1970-06-15,3.29
1970-06-16,3.37
1970-06-17,3.36
1970-06-18,3.42
1970-06-19,3.48
1970-06-22,3.51
1970-06-23,3.45
1970-06-24,3.44
1970-06-25,3.43
1970-06-26,3.36
1970-06-29,3.36
1970-06-30,3.37
1970-07-01,3.38
1970-07-02,3.42
1970-07-06,3.36
1970-07-07,3.36
1970-07-08,3.39
1970-07-09,3.39
1970-07-10,3.58
1970-07-13,3.60
1970-07-14,3.59
1970-07-15,3.61
1970-07-16,3.74
1970-07-17,3.83
1970-07-20,3.79
1970-07-21,3.70
1970-07-22,3.73
1970-07-23,3.79
1970-07-24,3.83
1970-07-27,3.78
1970-07-28,3.81
1970-07-29,3.85
1970-07-30,3.85
1970-07-31,3.84
1970-08-03,3.74
1970-08-04,3.77
1970-08-05,3.79
1970-08-06,3.76
1970-08-07,3.77
1970-08-10,3.74
1970-08-11,3.71
1970-08-12,3.73
1970-08-13,3.67
1970-08-14,3.68
1970-08-17,3.69
1970-08-18,3.71
1970-08-19,3.76
1970-08-20,3.81
1970-08-21,3.94
1970-08-24,3.97
1970-08-25,3.94
1970-08-26,3.93
1970-08-27,3.93
1970-08-28,3.94
1970-08-31,3.92
1970-09-01,3.90
1970-09-02,3.89
1970-09-03,3.93
