Date,Close
2020-08-28,21.00
2020-08-31,19.75
2020-09-01,17.35
2020-09-02,17.60
2020-09-03,14.43
2020-09-04,13.63
2020-09-08,13.75
2020-09-09,15.58
2020-09-10,15.98
2020-09-11,15.83
2020-09-14,14.53
2020-09-15,14.46
2020-09-16,13.38
2020-09-17,13.82
2020-09-18,14.05
2020-09-21,13.14
2020-09-22,12.90
2020-09-23,11.50
2020-09-24,11.09
2020-09-25,11.18
2020-09-28,10.87
2020-09-29,10.51
2020-09-30,11.99
2020-10-01,13.00
2020-10-02,12.31
2020-10-05,12.96
2020-10-06,12.50
2020-10-07,12.89
2020-10-08,12.78
2020-10-09,13.38
2020-10-12,12.61
2020-10-13,12.38
2020-10-14,11.86
2020-10-15,11.48
2020-10-16,11.18
2020-10-19,10.92
2020-10-20,10.62
2020-10-21,10.00
2020-10-22,9.71
2020-10-23,9.84
2020-10-26,9.32
2020-10-27,9.15
2020-10-28,8.34
2020-10-29,9.09
2020-10-30,8.99
2020-11-02,9.36
2020-11-03,9.29
2020-11-04,9.11
2020-11-05,10.44
2020-11-06,10.16
2020-11-09,10.36
2020-11-10,9.16
2020-11-11,10.10
2020-11-12,10.53
2020-11-13,12.60
2020-11-16,16.89
2020-11-17,16.57
2020-11-18,18.69
2020-11-19,18.95
2020-11-20,22.04
2020-11-23,28.20
2020-11-24,25.77
2020-11-25,26.43
2020-11-27,25.27
2020-11-30,22.07
2020-12-01,18.55
2020-12-02,19.57
2020-12-03,19.14
2020-12-04,18.55
2020-12-07,18.33
2020-12-08,21.99
2020-12-09,19.51
2020-12-10,19.13
2020-12-11,18.27
2020-12-14,17.34
2020-12-15,18.50
2020-12-16,18.01
2020-12-17,17.80
2020-12-18,19.00
2020-12-21,20.16
2020-12-22,20.64
2020-12-23,22.95
2020-12-24,22.69
2020-12-28,28.75
2020-12-29,25.80
2020-12-30,29.62
2020-12-31,29.11
2021-01-04,30.50
2021-01-05,29.91
2021-01-06,31.00
2021-01-07,32.41
2021-01-08,30.92
2021-01-11,30.10
2021-01-12,29.33
2021-01-13,30.74
2021-01-14,30.60
2021-01-15,29.63
2021-01-19,28.88
2021-01-20,30.65
2021-01-21,30.38
2021-01-22,30.21
2021-01-25,30.25
2021-01-26,30.33
2021-01-27,27.35
2021-01-28,29.54
2021-01-29,28.79
2021-02-01,30.47
2021-02-02,30.40
2021-02-03,29.91
2021-02-04,30.51
2021-02-05,28.49
2021-02-08,30.73
2021-02-09,30.31
2021-02-10,29.91
2021-02-11,28.52
2021-02-12,30.84
2021-02-16,30.15
2021-02-17,29.50
2021-02-18,28.70
2021-02-19,29.28
2021-02-22,26.20
2021-02-23,24.70
2021-02-24,26.29
2021-02-25,24.60
2021-02-26,24.38
2021-03-01,25.12
2021-03-02,25.24
2021-03-03,24.98
2021-03-04,23.26
2021-03-05,22.32
2021-03-08,21.63
2021-03-09,24.10
2021-03-10,25.72
2021-03-11,27.35
2021-03-12,26.80
2021-03-15,28.27
2021-03-16,27.21
2021-03-17,27.41
2021-03-18,25.20
2021-03-19,26.91
2021-03-22,26.16
2021-03-23,23.64
2021-03-24,20.26
2021-03-25,19.97
2021-03-26,19.62
2021-03-29,18.30
2021-03-30,21.85
2021-03-31,24.87
