Date,Close
2007-08-02,16.75
2007-08-03,15.75
2007-08-06,16.18
2007-08-07,17.00
2007-08-08,16.50
2007-08-09,16.07
2007-08-10,15.69
2007-08-13,15.45
2007-08-14,14.88
2007-08-15,14.84
2007-08-16,14.27
2007-08-17,14.00
2007-08-20,14.52
2007-08-21,14.62
2007-08-22,15.64
2007-08-23,16.36
2007-08-24,16.93
2007-08-27,16.53
2007-08-28,16.25
2007-08-29,16.25
2007-08-30,16.35
2007-08-31,16.52
2007-09-04,16.01
2007-09-05,15.52
2007-09-06,15.36
2007-09-07,14.69
2007-09-10,14.58
2007-09-11,14.61
2007-09-12,14.95
2007-09-13,14.75
2007-09-14,14.56
2007-09-17,14.39
2007-09-18,14.57
2007-09-19,14.75
2007-09-20,14.43
2007-09-21,14.07
2007-09-24,13.91
2007-09-25,13.70
2007-09-26,14.43
2007-09-27,15.98
2007-09-28,16.95
2007-10-01,17.68
2007-10-02,17.55
2007-10-03,17.32
2007-10-04,17.39
2007-10-05,16.86
2007-10-08,16.42
2007-10-09,15.80
2007-10-10,16.03
2007-10-11,15.85
2007-10-12,16.42
2007-10-15,15.95
2007-10-16,15.76
2007-10-17,16.15
2007-10-18,16.04
2007-10-19,15.96
2007-10-22,15.74
2007-10-23,15.75
2007-10-24,15.22
2007-10-25,15.22
2007-10-26,16.31
2007-10-29,16.57
2007-10-30,16.21
2007-10-31,16.00
2007-11-01,15.54
2007-11-02,15.06
2007-11-05,15.51
2007-11-06,14.82
2007-11-07,14.75
2007-11-08,14.85
2007-11-09,14.65
2007-11-12,14.06
2007-11-13,15.50
2007-11-14,15.31
2007-11-15,14.97
2007-11-16,14.63
2007-11-19,14.68
2007-11-20,15.45
2007-11-21,15.53
2007-11-23,15.15
2007-11-26,14.61
2007-11-27,14.77
2007-11-28,14.09
2007-11-29,14.39
2007-11-30,14.30
2007-12-03,15.04
2007-12-04,13.94
2007-12-05,14.16
2007-12-06,13.97
2007-12-07,14.31
2007-12-10,14.14
2007-12-11,14.12
2007-12-12,13.37
2007-12-13,14.05
2007-12-14,14.32
2007-12-17,14.05
2007-12-18,14.05
2007-12-19,14.26
2007-12-20,14.98
2007-12-21,15.56
2007-12-24,15.96
2007-12-26,15.64
2007-12-27,15.30
2007-12-28,15.30
2007-12-31,15.23
2008-01-02,15.32
2008-01-03,15.15
2008-01-04,14.60
2008-01-07,13.74
2008-01-08,13.40
2008-01-09,13.40
2008-01-10,13.47
2008-01-11,13.07
2008-01-14,12.66
2008-01-15,12.23
2008-01-16,11.65
2008-01-17,12.64
2008-01-18,12.51
2008-01-22,12.56
2008-01-23,12.10
2008-01-24,12.02
2008-01-25,11.65
2008-01-28,11.80
2008-01-29,12.25
2008-01-30,12.19
2008-01-31,12.15
2008-02-01,12.55
2008-02-04,12.46
2008-02-05,12.90
2008-02-06,13.23
2008-02-07,13.14
2008-02-08,13.33
2008-02-11,13.04
2008-02-12,13.32
2008-02-13,13.13
2008-02-14,14.00
2008-02-15,13.50
2008-02-19,13.91
2008-02-20,13.95
2008-02-21,14.23
2008-02-22,14.35
2008-02-25,14.60
2008-02-26,15.54
2008-02-27,16.04
2008-02-28,15.64
2008-02-29,15.25
