Date,Close
1970-01-02,3.99
1970-01-05,4.13
1970-01-06,4.13
1970-01-07,4.11
1970-01-08,4.21
1970-01-09,4.17
1970-01-12,4.15
1970-01-13,4.01
1970-01-14,4.11
1970-01-15,4.01
1970-01-16,4.01
1970-01-19,4.03
1970-01-20,4.01
1970-01-21,4.33
1970-01-22,4.19
1970-01-23,4.11
1970-01-26,3.97
1970-01-27,3.97
1970-01-28,3.77
1970-01-29,3.71
1970-01-30,3.73
1970-02-02,3.77
1970-02-03,3.81
1970-02-04,3.71
1970-02-05,3.65
1970-02-06,3.65
1970-02-09,3.65
1970-02-10,3.65
1970-02-11,3.69
1970-02-12,3.65
1970-02-13,3.65
1970-02-16,3.67
1970-02-17,3.58
1970-02-18,3.61
1970-02-19,3.59
1970-02-20,3.63
1970-02-24,3.65
1970-02-25,3.65
1970-02-26,3.63
1970-02-27,3.73
1970-03-02,3.81
1970-03-03,3.91
1970-03-04,3.93
1970-03-05,3.91
1970-03-06,3.83
1970-03-09,3.81
1970-03-10,3.85
1970-03-11,3.83
1970-03-12,3.79
1970-03-13,3.83
1970-03-16,3.79
1970-03-17,3.79
1970-03-18,3.77
1970-03-19,3.73
1970-03-20,3.73
1970-03-23,3.71
1970-03-24,3.79
1970-03-25,3.85
1970-03-26,3.85
1970-03-30,3.81
1970-03-31,3.77
1970-04-01,3.81
1970-04-02,3.79
1970-04-03,3.83
1970-04-06,3.77
1970-04-07,3.83
1970-04-08,3.79
1970-04-09,3.77
1970-04-10,3.69
1970-04-13,3.71
1970-04-14,3.69
1970-04-15,3.67
1970-04-16,3.44
1970-04-17,3.34
1970-04-20,3.30
1970-04-21,3.28
1970-04-22,3.30
1970-04-23,3.30
1970-04-24,3.28
1970-04-27,3.30
1970-04-28,3.16
1970-04-29,3.34
1970-04-30,3.26
1970-05-01,3.18
1970-05-04,3.12
1970-05-05,3.10
1970-05-06,3.10
1970-05-07,3.06
1970-05-08,3.02
1970-05-11,2.96
1970-05-12,2.94
1970-05-13,2.90
1970-05-14,2.86
1970-05-15,2.90
1970-05-18,2.90
1970-05-19,2.78
1970-05-20,2.70
1970-05-21,2.78
1970-05-22,2.76
1970-05-25,2.56
1970-05-26,2.58
1970-05-27,2.80
1970-05-28,3.04
1970-05-29,3.14
1970-06-01,3.10
1970-06-02,3.04
1970-06-03,3.08
1970-06-04,2.98
1970-06-05,2.92
1970-06-08,2.92
1970-06-09,2.86
1970-06-10,2.82
1970-06-11,2.78
1970-06-12,2.78
1970-06-15,2.78
1970-06-16,2.82
1970-06-17,2.84
1970-06-18,2.82
1970-06-19,2.84
1970-06-22,2.74
1970-06-23,2.70
1970-06-24,2.64
1970-06-25,2.72
1970-06-26,2.78
1970-06-29,2.66
1970-06-30,2.70
1970-07-01,2.80
1970-07-02,2.78
1970-07-06,2.68
1970-07-07,2.70
1970-07-08,2.68
1970-07-09,2.78
1970-07-10,2.90
1970-07-13,3.12
1970-07-14,3.06
1970-07-15,3.08
1970-07-16,3.04
1970-07-17,3.06
1970-07-20,2.92
1970-07-21,2.86
1970-07-22,2.92
1970-07-23,3.08
1970-07-24,3.04
1970-07-27,3.04
1970-07-28,3.00
1970-07-29,3.02
1970-07-30,2.92
1970-07-31,2.98
1970-08-03,2.90
1970-08-04,2.88
1970-08-05,2.86
1970-08-06,2.82
1970-08-07,2.86
1970-08-10,2.84
1970-08-11,2.86
1970-08-12,2.86
1970-08-13,2.82
1970-08-14,2.84
1970-08-17,2.80
1970-08-18,2.84
1970-08-19,2.86
1970-08-20,2.90
1970-08-21,3.08
1970-08-24,3.14
1970-08-25,3.26
1970-08-26,3.36
1970-08-27,3.36
1970-08-28,3.42
1970-08-31,3.50
1970-09-01,3.34
1970-09-02,3.38
1970-09-03,3.38
1970-09-04,3.30
1970-09-08,3.26
1970-09-09,3.26
1970-09-10,3.22
1970-09-11,3.26
1970-09-14,3.22
1970-09-15,3.14
1970-09-16,3.24
1970-09-17,3.18
1970-09-18,3.22
1970-09-21,3.18
1970-09-22,3.16
1970-09-23,3.10
1970-09-24,3.14
1970-09-25,3.10
1970-09-28,3.04
1970-09-29,3.10
1970-09-30,3.12
1970-10-01,3.08
1970-10-02,3.12
1970-10-05,3.18
1970-10-06,3.24
1970-10-07,3.26
1970-10-08,3.20
1970-10-09,3.12
1970-10-12,3.08
1970-10-13,3.02
1970-10-14,2.94
1970-10-15,3.00
1970-10-16,3.00
1970-10-19,2.96
1970-10-20,2.92
1970-10-21,2.92
1970-10-22,2.86
1970-10-23,2.90
1970-10-26,2.96
1970-10-27,2.90
1970-10-28,2.88
1970-10-29,2.90
1970-10-30,2.90
1970-11-02,2.86
1970-11-03,2.92
1970-11-04,2.86
1970-11-05,2.86
1970-11-06,2.78
1970-11-09,2.84
1970-11-10,2.84
1970-11-11,2.86
1970-11-12,2.78
1970-11-13,2.78
1970-11-16,2.78
1970-11-17,2.80
1970-11-18,2.82
1970-11-19,2.76
1970-11-20,2.78
1970-11-23,2.82
1970-11-24,2.84
1970-11-25,2.82
1970-11-27,2.86
1970-11-30,2.90
1970-12-01,2.86
1970-12-02,2.92
1970-12-03,3.08
1970-12-04,3.18
1970-12-07,3.22
1970-12-08,3.18
1970-12-09,3.22
1970-12-10,3.26
1970-12-11,3.34
1970-12-14,3.34
1970-12-15,3.36
1970-12-16,3.42
1970-12-17,3.50
1970-12-18,3.56
1970-12-21,3.56
1970-12-22,3.67
1970-12-23,3.65
1970-12-24,3.65
1970-12-28,3.63
1970-12-29,3.79
1970-12-30,3.87
1970-12-31,3.83
1971-01-04,3.71
1971-01-05,3.75
