Date,Close
1970-01-02,17.44
1970-01-05,17.60
1970-01-06,17.61
1970-01-07,17.63
1970-01-08,17.66
1970-01-09,17.64
1970-01-12,17.58
1970-01-13,17.88
1970-01-14,17.87
1970-01-15,18.24
1970-01-16,17.67
1970-01-19,16.73
1970-01-20,17.04
1970-01-21,16.97
1970-01-22,17.02
1970-01-23,17.02
1970-01-26,16.66
1970-01-27,16.50
1970-01-28,16.30
1970-01-29,16.18
1970-01-30,16.02
1970-02-02,16.40
1970-02-03,16.41
1970-02-04,16.41
1970-02-05,16.19
1970-02-06,16.48
1970-02-09,16.72
1970-02-10,16.54
1970-02-11,16.97
1970-02-12,16.83
1970-02-13,16.68
1970-02-16,16.69
1970-02-17,16.72
1970-02-18,16.79
1970-02-19,16.83
1970-02-20,16.71
1970-02-24,16.47
1970-02-25,16.49
1970-02-26,16.46
1970-02-27,16.26
1970-03-02,16.04
1970-03-03,15.93
1970-03-04,15.76
1970-03-05,15.74
1970-03-06,15.55
1970-03-09,15.14
1970-03-10,15.61
1970-03-11,15.70
1970-03-12,15.71
1970-03-13,15.50
1970-03-16,15.30
1970-03-17,15.42
1970-03-18,15.40
1970-03-19,15.41
1970-03-20,15.28
1970-03-23,15.39
1970-03-24,15.68
1970-03-25,15.92
1970-03-26,15.93
1970-03-30,16.10
1970-03-31,16.18
1970-04-01,16.14
1970-04-02,15.87
1970-04-03,15.61
1970-04-06,15.32
1970-04-07,15.30
1970-04-08,15.49
1970-04-09,15.57
1970-04-10,15.85
1970-04-13,15.63
1970-04-14,15.52
1970-04-15,15.45
1970-04-16,15.33
1970-04-17,15.42
1970-04-20,15.51
1970-04-21,15.34
1970-04-22,14.96
1970-04-23,14.80
1970-04-24,14.77
1970-04-27,14.41
1970-04-28,13.87
1970-04-29,14.35
1970-04-30,14.24
1970-05-01,14.18
1970-05-04,13.53
1970-05-05,13.53
1970-05-06,13.74
1970-05-07,13.85
1970-05-08,13.89
1970-05-11,13.65
1970-05-12,13.50
1970-05-13,13.15
1970-05-14,12.83
1970-05-15,12.94
1970-05-18,12.91
1970-05-19,12.36
1970-05-20,11.97
1970-05-21,11.74
1970-05-22,11.85
1970-05-25,11.52
1970-05-26,11.57
1970-05-27,12.38
1970-05-28,12.76
1970-05-29,13.29
1970-06-01,13.72
1970-06-02,13.53
1970-06-03,13.53
1970-06-04,12.97
1970-06-05,12.91
1970-06-08,12.73
1970-06-09,12.82
1970-06-10,12.69
1970-06-11,12.39
1970-06-12,12.38
1970-06-15,12.38
1970-06-16,12.95
1970-06-17,12.70
1970-06-18,13.00
1970-06-19,12.92
1970-06-22,12.83
1970-06-23,12.29
1970-06-24,12.19
1970-06-25,12.33
1970-06-26,12.31
1970-06-29,12.31
1970-06-30,11.95
1970-07-01,12.14
1970-07-02,11.99
1970-07-06,11.69
1970-07-07,11.59
1970-07-08,12.07
1970-07-09,12.15
1970-07-10,11.96
1970-07-13,11.84
1970-07-14,12.01
1970-07-15,12.05
1970-07-16,12.14
1970-07-17,12.40
1970-07-20,12.33
1970-07-21,12.32
1970-07-22,12.14
1970-07-23,12.28
1970-07-24,12.13
1970-07-27,12.11
1970-07-28,12.08
1970-07-29,12.07
1970-07-30,12.12
1970-07-31,12.06
1970-08-03,11.91
1970-08-04,11.96
1970-08-05,11.94
1970-08-06,11.88
1970-08-07,11.74
1970-08-10,11.50
1970-08-11,11.39
1970-08-12,11.02
1970-08-13,10.66
1970-08-14,10.99
1970-08-17,11.25
1970-08-18,11.46
1970-08-19,11.46
1970-08-20,11.70
1970-08-21,11.91
1970-08-24,12.56
1970-08-25,12.62
1970-08-26,12.61
1970-08-27,12.68
1970-08-28,12.97
1970-08-31,12.73
1970-09-01,12.61
1970-09-02,12.62
1970-09-03,12.89
1970-09-04,13.00
1970-09-08,13.15
1970-09-09,13.05
1970-09-10,12.82
1970-09-11,12.85
1970-09-14,12.72
1970-09-15,12.73
1970-09-16,12.95
1970-09-17,13.22
1970-09-18,13.40
1970-09-21,13.17
1970-09-22,13.06
1970-09-23,13.43
1970-09-24,13.79
1970-09-25,13.79
1970-09-28,13.86
1970-09-29,13.95
1970-09-30,13.95
1970-10-01,14.20
1970-10-02,14.30
1970-10-05,14.66
1970-10-06,14.68
1970-10-07,14.62
1970-10-08,14.26
1970-10-09,14.16
1970-10-12,13.87
1970-10-13,13.96
1970-10-14,13.93
1970-10-15,14.01
1970-10-16,13.90
1970-10-19,13.60
1970-10-20,13.92
1970-10-21,13.81
1970-10-22,13.77
1970-10-23,14.10
1970-10-26,13.85
1970-10-27,13.91
1970-10-28,14.17
1970-10-29,14.27
1970-10-30,14.05
1970-11-02,14.33
1970-11-03,14.16
1970-11-04,14.16
1970-11-05,13.99
1970-11-06,14.05
1970-11-09,14.22
