Date,Close
1980-03-17,5.04
1980-03-18,5.07
1980-03-19,5.15
1980-03-20,5.11
1980-03-21,5.22
1980-03-24,5.09
1980-03-25,5.07
1980-03-26,5.11
1980-03-27,5.07
1980-03-28,5.02
1980-03-31,5.17
1980-04-01,5.11
1980-04-02,5.30
1980-04-03,5.50
1980-04-07,5.54
1980-04-08,5.44
1980-04-09,5.37
1980-04-10,5.48
1980-04-11,5.48
1980-04-14,5.46
1980-04-15,5.33
1980-04-16,5.43
1980-04-17,5.33
1980-04-18,5.30
1980-04-21,5.17
1980-04-22,5.33
1980-04-23,5.33
1980-04-24,5.30
1980-04-25,5.22
1980-04-28,5.33
1980-04-29,5.35
1980-04-30,5.41
1980-05-01,5.50
1980-05-02,5.56
1980-05-05,5.85
1980-05-06,5.76
1980-05-07,5.85
1980-05-08,5.83
1980-05-09,5.80
1980-05-12,5.78
1980-05-13,5.76
1980-05-14,5.78
1980-05-15,5.76
1980-05-16,5.74
1980-05-19,5.87
1980-05-20,5.76
1980-05-21,5.72
1980-05-22,5.78
1980-05-23,5.85
1980-05-27,5.80
1980-05-28,5.89
1980-05-29,5.81
1980-05-30,5.80
1980-06-02,5.76
1980-06-03,5.80
1980-06-04,5.94
1980-06-05,5.93
1980-06-06,6.22
1980-06-09,5.93
1980-06-10,6.02
1980-06-11,6.13
1980-06-12,6.11
1980-06-13,6.37
1980-06-16,6.15
1980-06-17,6.15
1980-06-18,6.02
1980-06-19,5.81
1980-06-20,5.78
1980-06-23,5.76
1980-06-24,5.93
1980-06-25,5.94
1980-06-26,5.93
1980-06-27,5.94
1980-06-30,5.93
1980-07-01,5.93
1980-07-02,5.94
1980-07-03,5.96
1980-07-07,5.96
1980-07-08,5.96
1980-07-09,5.94
1980-07-10,6.00
1980-07-11,6.02
1980-07-14,6.22
1980-07-15,6.15
1980-07-16,6.24
1980-07-17,6.28
1980-07-18,6.33
1980-07-21,6.65
1980-07-22,6.41
1980-07-23,6.24
1980-07-24,6.28
1980-07-25,6.20
1980-07-28,6.15
1980-07-29,6.19
1980-07-30,6.20
