Date,Close
1970-01-02,5.73
1970-01-05,5.76
1970-01-06,5.82
1970-01-07,5.85
1970-01-08,5.93
1970-01-09,5.92
1970-01-12,5.92
1970-01-13,5.91
1970-01-14,5.97
1970-01-15,5.85
1970-01-16,5.81
1970-01-19,5.70
1970-01-20,5.74
1970-01-21,5.73
1970-01-22,5.76
1970-01-23,5.70
1970-01-26,5.68
1970-01-27,5.50
1970-01-28,5.47
1970-01-29,5.38
1970-01-30,5.25
1970-02-02,5.25
1970-02-03,5.38
1970-02-04,5.27
1970-02-05,5.25
1970-02-06,5.24
1970-02-09,5.29
1970-02-10,5.31
1970-02-11,5.30
1970-02-12,5.40
1970-02-13,5.42
1970-02-16,5.53
1970-02-17,5.60
1970-02-18,5.68
1970-02-19,5.68
1970-02-20,5.64
1970-02-24,5.60
1970-02-25,5.74
1970-02-26,5.72
1970-02-27,5.70
1970-03-02,5.68
1970-03-03,5.63
1970-03-04,5.68
1970-03-05,5.59
1970-03-06,5.57
1970-03-09,5.52
1970-03-10,5.56
1970-03-11,5.55
1970-03-12,5.54
1970-03-13,5.54
1970-03-16,5.34
1970-03-17,5.38
1970-03-18,5.37
1970-03-19,5.39
1970-03-20,5.33
1970-03-23,5.25
1970-03-24,5.30
1970-03-25,5.42
1970-03-26,5.40
1970-03-30,5.43
1970-03-31,5.46
1970-04-01,5.55
1970-04-02,5.57
1970-04-03,5.56
1970-04-06,5.45
1970-04-07,5.45
1970-04-08,5.40
1970-04-09,5.42
1970-04-10,5.41
1970-04-13,5.37
1970-04-14,5.34
1970-04-15,5.28
1970-04-16,5.26
1970-04-17,5.17
1970-04-20,5.17
1970-04-21,5.15
1970-04-22,5.04
1970-04-23,4.98
1970-04-24,5.02
1970-04-27,4.96
1970-04-28,4.93
1970-04-29,4.96
1970-04-30,4.90
1970-05-01,4.91
1970-05-04,4.74
1970-05-05,4.70
1970-05-06,4.76
1970-05-07,4.87
1970-05-08,4.91
1970-05-11,4.85
1970-05-12,4.81
1970-05-13,4.65
1970-05-14,4.62
1970-05-15,4.70
1970-05-18,4.72
1970-05-19,4.62
1970-05-20,4.42
1970-05-21,4.38
1970-05-22,4.36
1970-05-25,4.08
1970-05-26,4.06
1970-05-27,4.30
1970-05-28,4.34
1970-05-29,4.42
1970-06-01,4.45
1970-06-02,4.49
1970-06-03,4.55
