Date,Close
1993-02-23,7.75
1993-02-24,7.97
1993-02-25,8.16
1993-02-26,8.28
1993-03-01,8.00
1993-03-02,8.22
1993-03-03,8.19
1993-03-04,8.16
1993-03-05,8.31
1993-03-08,8.28
1993-03-09,8.53
1993-03-10,8.88
1993-03-11,8.88
1993-03-12,9.03
1993-03-15,8.88
1993-03-16,8.69
1993-03-17,8.78
1993-03-18,9.00
1993-03-19,8.91
1993-03-22,8.88
1993-03-23,8.69
1993-03-24,8.59
1993-03-25,8.59
1993-03-26,9.16
1993-03-29,9.25
1993-03-30,9.59
1993-03-31,9.59
1993-04-01,9.25
1993-04-02,8.91
1993-04-05,9.06
1993-04-06,8.94
1993-04-07,9.06
1993-04-08,9.03
1993-04-12,9.25
1993-04-13,9.53
1993-04-14,9.78
1993-04-15,9.38
1993-04-16,9.34
1993-04-19,9.13
1993-04-20,8.84
1993-04-21,8.72
1993-04-22,8.72
1993-04-23,8.59
1993-04-26,8.41
1993-04-27,8.50
1993-04-28,8.66
1993-04-29,8.63
1993-04-30,9.69
1993-05-03,9.19
1993-05-04,9.25
1993-05-05,9.16
1993-05-06,9.09
1993-05-07,9.13
1993-05-10,9.25
1993-05-11,9.22
1993-05-12,9.22
1993-05-13,9.00
1993-05-14,8.75
1993-05-17,8.91
1993-05-18,8.81
1993-05-19,8.91
1993-05-20,8.75
1993-05-21,8.50
1993-05-24,8.66
1993-05-25,8.63
1993-05-26,9.16
1993-05-27,8.78
1993-05-28,8.59
1993-06-01,8.66
1993-06-02,8.72
1993-06-03,8.56
1993-06-04,8.47
1993-06-07,8.47
1993-06-08,8.47
1993-06-09,8.59
1993-06-10,8.50
1993-06-11,8.56
1993-06-14,8.59
1993-06-15,8.50
1993-06-16,8.75
1993-06-17,8.78
1993-06-18,8.53
1993-06-21,8.47
1993-06-22,8.47
1993-06-23,8.47
1993-06-24,8.78
1993-06-25,9.06
1993-06-28,9.69
1993-06-29,9.31
1993-06-30,9.38
1993-07-01,9.25
1993-07-02,9.31
1993-07-06,9.22
1993-07-07,9.22
1993-07-08,9.19
1993-07-09,9.19
1993-07-12,9.69
1993-07-13,9.22
1993-07-14,8.91
1993-07-15,8.97
1993-07-16,8.94
1993-07-19,9.09
1993-07-20,9.50
1993-07-21,9.66
1993-07-22,9.44
1993-07-23,9.34
1993-07-26,9.63
1993-07-27,9.47
1993-07-28,9.44
1993-07-29,9.31
1993-07-30,9.31
1993-08-02,9.25
1993-08-03,9.16
1993-08-04,9.22
1993-08-05,9.16
1993-08-06,9.47
1993-08-09,9.63
1993-08-10,9.56
1993-08-11,9.31
1993-08-12,9.31
1993-08-13,9.22
1993-08-16,9.19
1993-08-17,9.13
1993-08-18,9.22
1993-08-19,9.16
1993-08-20,9.25
1993-08-23,9.38
1993-08-24,9.84
1993-08-25,9.78
1993-08-26,9.75
1993-08-27,9.56
1993-08-30,9.88
1993-08-31,9.72
1993-09-01,9.84
1993-09-02,9.97
1993-09-03,9.84
1993-09-07,9.75
1993-09-08,9.56
1993-09-09,9.63
1993-09-10,9.75
1993-09-13,9.88
1993-09-14,9.69
1993-09-15,9.75
1993-09-16,10.13
1993-09-17,10.31
1993-09-20,10.69
1993-09-21,10.69
1993-09-22,11.16
1993-09-23,11.19
1993-09-24,11.03
1993-09-27,10.91
1993-09-28,10.97
1993-09-29,10.91
1993-09-30,11.00
1993-10-01,11.19
1993-10-04,11.25
1993-10-05,11.56
1993-10-06,11.44
1993-10-07,11.25
1993-10-08,11.06
1993-10-11,11.03
1993-10-12,11.19
1993-10-13,11.22
1993-10-14,11.09
1993-10-15,10.94
1993-10-18,10.50
1993-10-19,10.09
1993-10-20,9.91
1993-10-21,10.25
1993-10-22,10.34
1993-10-25,10.03
1993-10-26,9.97
1993-10-27,10.03
1993-10-28,10.16
1993-10-29,10.28
1993-11-01,10.09
1993-11-02,10.00
1993-11-03,9.69
1993-11-04,9.56
1993-11-05,9.50
1993-11-08,9.66
1993-11-09,9.84
1993-11-10,9.66
1993-11-11,9.69
1993-11-12,9.75
1993-11-15,9.56
1993-11-16,9.50
1993-11-17,9.56
1993-11-18,9.50
1993-11-19,9.09
1993-11-22,8.81
1993-11-23,9.38
1993-11-24,9.34
1993-11-26,9.31
1993-11-29,9.47
1993-11-30,9.50
1993-12-01,9.72
1993-12-02,9.59
1993-12-03,9.72
1993-12-06,9.75
1993-12-07,9.63
1993-12-08,9.53
1993-12-09,9.72
1993-12-10,9.69
1993-12-13,9.78
1993-12-14,9.69
1993-12-15,9.53
1993-12-16,9.44
1993-12-17,9.50
1993-12-20,9.50
1993-12-21,9.44
1993-12-22,9.53
1993-12-23,9.44
1993-12-27,9.25
1993-12-28,9.03
1993-12-29,8.84
1993-12-30,8.78
1993-12-31,8.66
1994-01-03,8.75
