Date,Close
1984-06-01,1.41
1984-06-04,1.41
1984-06-05,1.40
1984-06-06,1.48
1984-06-07,1.64
1984-06-08,1.74
1984-06-11,1.63
1984-06-12,1.61
1984-06-13,1.69
1984-06-14,1.64
1984-06-15,1.69
1984-06-18,1.74
1984-06-19,1.86
1984-06-20,2.06
1984-06-21,2.04
1984-06-22,2.26
1984-06-25,2.24
1984-06-26,2.30
1984-06-27,2.24
1984-06-28,2.35
1984-06-29,2.54
1984-07-02,2.47
1984-07-03,2.53
1984-07-05,2.65
1984-07-06,2.63
1984-07-09,2.58
1984-07-10,2.51
1984-07-11,2.40
1984-07-12,2.34
1984-07-13,2.36
1984-07-16,2.26
1984-07-17,2.34
1984-07-18,2.33
1984-07-19,2.09
1984-07-20,1.90
1984-07-23,1.96
1984-07-24,1.92
1984-07-25,2.06
1984-07-26,2.15
1984-07-27,2.13
1984-07-30,2.11
1984-07-31,2.09
1984-08-01,2.35
1984-08-02,2.47
1984-08-03,2.34
1984-08-06,2.29
1984-08-07,2.38
1984-08-08,2.35
1984-08-09,2.56
1984-08-10,2.67
1984-08-13,2.65
1984-08-14,2.58
1984-08-15,2.58
1984-08-16,2.78
1984-08-17,2.70
1984-08-20,2.78
1984-08-21,3.03
1984-08-22,3.13
1984-08-23,3.30
1984-08-24,3.40
1984-08-27,3.26
1984-08-28,3.29
1984-08-29,3.21
1984-08-30,3.09
1984-08-31,3.13
1984-09-04,3.39
1984-09-05,3.49
1984-09-06,3.70
1984-09-07,3.75
1984-09-10,3.66
1984-09-11,3.75
1984-09-12,3.74
1984-09-13,3.76
1984-09-14,4.00
1984-09-17,4.04
1984-09-18,4.00
1984-09-19,3.76
1984-09-20,3.79
1984-09-21,3.83
1984-09-24,3.65
1984-09-25,3.56
1984-09-26,2.79
1984-09-27,2.69
1984-09-28,2.66
1984-10-01,2.75
1984-10-02,2.49
1984-10-03,2.54
1984-10-04,2.61
1984-10-05,2.75
1984-10-08,2.78
1984-10-09,2.65
1984-10-10,2.65
1984-10-11,2.55
1984-10-12,2.60
1984-10-15,2.67
1984-10-16,2.70
1984-10-17,2.70
1984-10-18,2.86
1984-10-19,2.92
1984-10-22,2.99
1984-10-23,3.01
1984-10-24,3.00
1984-10-25,2.84
1984-10-26,2.70
1984-10-29,2.70
1984-10-30,2.67
1984-10-31,2.69
1984-11-01,2.59
1984-11-02,2.54
1984-11-05,2.58
1984-11-06,2.69
1984-11-07,2.65
1984-11-08,2.66
1984-11-09,2.67
1984-11-12,2.67
1984-11-13,2.50
1984-11-14,2.56
1984-11-15,2.60
1984-11-16,2.51
1984-11-19,2.46
1984-11-20,2.49
1984-11-21,2.55
1984-11-23,2.63
1984-11-26,2.64
1984-11-27,2.75
1984-11-28,2.80
1984-11-29,2.67
1984-11-30,2.80
1984-12-03,2.72
1984-12-04,2.75
1984-12-05,2.78
1984-12-06,2.94
1984-12-07,2.88
1984-12-10,2.84
1984-12-11,2.84
1984-12-12,2.83
1984-12-13,2.75
1984-12-14,2.72
1984-12-17,2.75
1984-12-18,2.66
1984-12-19,2.76
1984-12-20,2.66
1984-12-21,2.71
1984-12-24,2.79
1984-12-26,2.84
1984-12-27,2.81
1984-12-28,2.75
1984-12-31,2.72
1985-01-02,2.71
1985-01-03,2.65
1985-01-04,2.55
1985-01-07,2.45
1985-01-08,2.26
1985-01-09,2.16
1985-01-10,2.20
1985-01-11,2.19
1985-01-14,2.40
1985-01-15,2.45
1985-01-16,2.39
1985-01-17,2.30
1985-01-18,2.33
1985-01-21,2.46
1985-01-22,2.54
1985-01-23,2.50
1985-01-24,2.44
1985-01-25,2.46
1985-01-28,2.45
1985-01-29,2.38
1985-01-30,2.42
1985-01-31,2.40
1985-02-01,2.36
1985-02-04,2.36
1985-02-05,2.40
1985-02-06,2.39
1985-02-07,2.38
1985-02-08,2.35
1985-02-11,2.28
1985-02-12,2.21
1985-02-13,2.16
1985-02-14,1.67
1985-02-15,1.70
1985-02-19,1.49
1985-02-20,1.52
1985-02-21,1.54
1985-02-22,1.52
1985-02-25,1.24
1985-02-26,1.09
1985-02-27,1.04
1985-02-28,1.16
1985-03-01,1.30
1985-03-04,1.26
1985-03-05,1.25
1985-03-06,1.17
1985-03-07,1.16
1985-03-08,1.14
1985-03-11,1.14
1985-03-12,1.11
1985-03-13,1.05
1985-03-14,1.05
1985-03-15,1.09
1985-03-18,1.31
1985-03-19,1.21
1985-03-20,1.13
1985-03-21,1.16
1985-03-22,1.10
1985-03-25,1.20
1985-03-26,1.24
1985-03-27,1.23
1985-03-28,1.19
1985-03-29,1.15
1985-04-01,1.08
1985-04-02,1.09
1985-04-03,1.17
1985-04-04,1.21
1985-04-08,1.20
1985-04-09,1.11
1985-04-10,1.17
1985-04-11,1.19
1985-04-12,1.17
1985-04-15,1.19
1985-04-16,1.20
1985-04-17,1.30
1985-04-18,1.36
1985-04-19,1.42
1985-04-22,1.40
1985-04-23,1.44
1985-04-24,1.39
1985-04-25,1.30
1985-04-26,1.13
1985-04-29,1.10
1985-04-30,1.08
1985-05-01,1.04
