Date,Close
1972-06-01,1.60
1972-06-02,1.60
1972-06-05,1.57
1972-06-06,1.56
1972-06-07,1.55
1972-06-08,1.55
1972-06-09,1.55
1972-06-12,1.55
1972-06-13,1.57
1972-06-14,1.58
1972-06-15,1.58
1972-06-16,1.58
1972-06-19,1.57
1972-06-20,1.57
1972-06-21,1.57
1972-06-22,1.58
1972-06-23,1.59
1972-06-26,1.58
1972-06-27,1.57
1972-06-28,1.57
1972-06-29,1.57
1972-06-30,1.55
1972-07-03,1.55
1972-07-05,1.55
1972-07-06,1.57
1972-07-07,1.55
1972-07-10,1.55
1972-07-11,1.56
1972-07-12,1.56
1972-07-13,1.57
1972-07-14,1.63
1972-07-17,1.62
1972-07-18,1.60
1972-07-19,1.58
1972-07-20,1.56
1972-07-21,1.57
1972-07-24,1.57
1972-07-25,1.58
1972-07-26,1.59
1972-07-27,1.64
1972-07-28,1.62
1972-07-31,1.62
1972-08-01,1.63
1972-08-02,1.65
1972-08-03,1.63
1972-08-04,1.63
1972-08-07,1.63
1972-08-08,1.62
1972-08-09,1.62
1972-08-10,1.62
1972-08-11,1.62
1972-08-14,1.63
1972-08-15,1.63
1972-08-16,1.62
1972-08-17,1.63
1972-08-18,1.63
1972-08-21,1.63
1972-08-22,1.63
1972-08-23,1.63
1972-08-24,1.62
1972-08-25,1.62
1972-08-28,1.61
1972-08-29,1.62
1972-08-30,1.61
1972-08-31,1.60
1972-09-01,1.61
1972-09-05,1.59
1972-09-06,1.59
1972-09-07,1.58
1972-09-08,1.57
1972-09-11,1.57
1972-09-12,1.57
1972-09-13,1.56
1972-09-14,1.57
1972-09-15,1.54
1972-09-18,1.52
1972-09-19,1.50
1972-09-20,1.50
1972-09-21,1.50
1972-09-22,1.47
1972-09-25,1.44
1972-09-26,1.46
1972-09-27,1.52
1972-09-28,1.53
1972-09-29,1.54
1972-10-02,1.52
1972-10-03,1.51
1972-10-04,1.52
1972-10-05,1.52
1972-10-06,1.53
1972-10-09,1.53
1972-10-10,1.53
1972-10-11,1.53
1972-10-12,1.50
1972-10-13,1.48
1972-10-16,1.47
1972-10-17,1.48
1972-10-18,1.50
1972-10-19,1.50
1972-10-20,1.50
1972-10-23,1.52
1972-10-24,1.54
1972-10-25,1.56
1972-10-26,1.57
1972-10-27,1.55
1972-10-30,1.54
1972-10-31,1.55
1972-11-01,1.55
1972-11-02,1.56
1972-11-03,1.58
1972-11-06,1.58
1972-11-08,1.59
1972-11-09,1.59
1972-11-10,1.58
1972-11-13,1.59
1972-11-14,1.61
1972-11-15,1.60
1972-11-16,1.61
1972-11-17,1.66
1972-11-20,1.66
1972-11-21,1.63
1972-11-22,1.64
1972-11-24,1.63
1972-11-27,1.64
1972-11-28,1.63
1972-11-29,1.63
1972-11-30,1.61
1972-12-01,1.61
1972-12-04,1.62
1972-12-05,1.63
1972-12-06,1.64
1972-12-07,1.66
1972-12-08,1.66
1972-12-11,1.65
1972-12-12,1.64
1972-12-13,1.64
1972-12-14,1.63
1972-12-15,1.63
1972-12-18,1.63
1972-12-19,1.61
1972-12-20,1.59
1972-12-21,1.57
1972-12-22,1.58
1972-12-26,1.57
1972-12-27,1.59
1972-12-29,1.61
1973-01-02,1.63
1973-01-03,1.62
1973-01-04,1.59
1973-01-05,1.58
1973-01-08,1.59
1973-01-09,1.57
1973-01-10,1.56
1973-01-11,1.57
1973-01-12,1.59
1973-01-15,1.59
1973-01-16,1.59
1973-01-17,1.61
1973-01-18,1.63
1973-01-19,1.61
1973-01-22,1.61
1973-01-23,1.62
1973-01-24,1.59
1973-01-26,1.57
1973-01-29,1.53
1973-01-30,1.54
1973-01-31,1.54
1973-02-01,1.53
1973-02-02,1.54
1973-02-05,1.53
1973-02-06,1.56
1973-02-07,1.54
1973-02-08,1.55
1973-02-09,1.55
1973-02-12,1.56
1973-02-13,1.56
1973-02-14,1.54
1973-02-15,1.55
1973-02-16,1.56
1973-02-20,1.56
1973-02-21,1.55
1973-02-22,1.55
1973-02-23,1.55
1973-02-26,1.55
1973-02-27,1.54
1973-02-28,1.53
1973-03-01,1.54
1973-03-02,1.54
1973-03-05,1.55
1973-03-06,1.57
1973-03-07,1.59
1973-03-08,1.60
1973-03-09,1.61
1973-03-12,1.60
1973-03-13,1.61
1973-03-14,1.65
1973-03-15,1.63
1973-03-16,1.62
1973-03-19,1.63
1973-03-20,1.62
1973-03-21,1.59
1973-03-22,1.55
1973-03-23,1.54
1973-03-26,1.53
1973-03-27,1.54
1973-03-28,1.54
1973-03-29,1.58
1973-03-30,1.54
1973-04-02,1.53
1973-04-03,1.53
1973-04-04,1.51
1973-04-05,1.53
1973-04-06,1.53
1973-04-09,1.54
1973-04-10,1.57
1973-04-11,1.56
1973-04-12,1.53
1973-04-13,1.53
1973-04-16,1.53
1973-04-17,1.52
1973-04-18,1.51
1973-04-19,1.56
1973-04-23,1.57
1973-04-24,1.59
1973-04-25,1.58
1973-04-26,1.58
1973-04-27,1.55
1973-04-30,1.55
1973-05-01,1.55
1973-05-02,1.54
1973-05-03,1.55
1973-05-04,1.56
1973-05-07,1.57
1973-05-08,1.57
1973-05-09,1.56
1973-05-10,1.56
1973-05-11,1.53
1973-05-14,1.50
1973-05-15,1.52
1973-05-16,1.52
1973-05-17,1.52
1973-05-18,1.52
1973-05-21,1.53
1973-05-22,1.53
1973-05-23,1.53
1973-05-24,1.57
1973-05-25,1.56
1973-05-29,1.56
1973-05-30,1.53
1973-05-31,1.53
1973-06-01,1.53
1973-06-04,1.49
1973-06-05,1.49
1973-06-06,1.47
1973-06-07,1.49
1973-06-08,1.52
1973-06-11,1.49
1973-06-12,1.56
1973-06-13,1.56
1973-06-14,1.53
1973-06-15,1.52
1973-06-18,1.49
1973-06-19,1.47
1973-06-20,1.47
1973-06-21,1.49
1973-06-22,1.49
1973-06-25,1.49
1973-06-26,1.50
1973-06-27,1.52
1973-06-28,1.52
1973-06-29,1.52
1973-07-02,1.50
1973-07-03,1.50
1973-07-05,1.47
1973-07-06,1.47
1973-07-09,1.47
1973-07-10,1.47
1973-07-11,1.49
1973-07-12,1.50
1973-07-13,1.49
1973-07-16,1.52
1973-07-17,1.56
1973-07-18,1.57
1973-07-19,1.56
1973-07-20,1.50
1973-07-23,1.52
1973-07-24,1.56
1973-07-25,1.56
1973-07-26,1.56
1973-07-27,1.57
1973-07-30,1.60
1973-07-31,1.58
1973-08-01,1.58
1973-08-02,1.56
1973-08-03,1.57
1973-08-06,1.57
1973-08-07,1.57
1973-08-08,1.56
1973-08-09,1.57
1973-08-10,1.56
1973-08-13,1.56
1973-08-14,1.53
1973-08-15,1.50
1973-08-16,1.50
1973-08-17,1.49
1973-08-20,1.49
1973-08-21,1.47
1973-08-22,1.47
1973-08-23,1.47
1973-08-24,1.47
1973-08-27,1.49
1973-08-28,1.49
1973-08-29,1.52
1973-08-30,1.50
1973-08-31,1.49
1973-09-04,1.50
1973-09-05,1.49
1973-09-06,1.50
1973-09-07,1.50
1973-09-10,1.52
1973-09-11,1.50
1973-09-12,1.50
1973-09-13,1.49
1973-09-14,1.52
1973-09-17,1.53
1973-09-18,1.53
1973-09-19,1.56
1973-09-20,1.57
1973-09-21,1.58
1973-09-24,1.61
1973-09-25,1.63
1973-09-26,1.60
1973-09-27,1.58
1973-09-28,1.58
1973-10-01,1.61
1973-10-02,1.61
1973-10-03,1.61
1973-10-04,1.60
1973-10-05,1.60
1973-10-08,1.61
1973-10-09,1.60
1973-10-10,1.58
1973-10-11,1.60
1973-10-12,1.60
1973-10-15,1.60
1973-10-16,1.60
1973-10-17,1.60
1973-10-18,1.60
1973-10-19,1.60
1973-10-22,1.60
1973-10-23,1.61
1973-10-24,1.63
1973-10-25,1.63
1973-10-26,1.63
1973-10-29,1.63
1973-10-30,1.61
1973-10-31,1.61
1973-11-01,1.58
1973-11-02,1.57
1973-11-05,1.56
1973-11-06,1.53
1973-11-07,1.56
1973-11-08,1.56
1973-11-09,1.53
1973-11-12,1.52
1973-11-13,1.50
1973-11-14,1.47
1973-11-15,1.47
1973-11-16,1.50
1973-11-19,1.46
1973-11-20,1.45
1973-11-21,1.45
1973-11-23,1.43
1973-11-26,1.35
1973-11-27,1.31
1973-11-28,1.28
1973-11-29,1.27
1973-11-30,1.24
1973-12-03,1.22
1973-12-04,1.22
1973-12-05,1.24
1973-12-06,1.28
1973-12-07,1.32
1973-12-10,1.32
1973-12-11,1.28
1973-12-12,1.27
1973-12-13,1.24
1973-12-14,1.22
1973-12-17,1.24
1973-12-18,1.22
1973-12-19,1.22
1973-12-20,1.22
1973-12-21,1.24
1973-12-24,1.24
1973-12-26,1.25
1973-12-27,1.27
1973-12-28,1.27
1973-12-31,1.28
1974-01-02,1.28
1974-01-03,1.32
1974-01-04,1.32
1974-01-07,1.32
1974-01-08,1.31
1974-01-09,1.28
1974-01-10,1.27
1974-01-11,1.28
1974-01-14,1.28
1974-01-15,1.28
1974-01-16,1.28
1974-01-17,1.27
1974-01-18,1.24
1974-01-21,1.22
1974-01-22,1.24
1974-01-23,1.22
1974-01-24,1.19
1974-01-25,1.21
1974-01-28,1.21
1974-01-29,1.21
1974-01-30,1.24
1974-01-31,1.22
1974-02-01,1.21
1974-02-04,1.19
1974-02-05,1.14
1974-02-06,1.16
1974-02-07,1.16
1974-02-08,1.13
1974-02-11,1.10
1974-02-12,1.08
1974-02-13,1.06
1974-02-14,1.06
1974-02-15,1.10
1974-02-19,1.16
1974-02-20,1.14
1974-02-21,1.18
1974-02-22,1.18
1974-02-25,1.18
1974-02-26,1.18
1974-02-27,1.19
1974-02-28,1.19
1974-03-01,1.18
1974-03-04,1.18
1974-03-05,1.19
1974-03-06,1.19
1974-03-07,1.19
1974-03-08,1.19
1974-03-11,1.22
1974-03-12,1.24
1974-03-13,1.24
1974-03-14,1.21
1974-03-15,1.16
1974-03-18,1.16
1974-03-19,1.16
1974-03-20,1.18
1974-03-21,1.18
1974-03-22,1.18
1974-03-25,1.18
1974-03-26,1.18
1974-03-27,1.16
1974-03-28,1.11
1974-03-29,1.11
1974-04-01,1.10
1974-04-02,1.08
1974-04-03,1.07
1974-04-04,1.08
1974-04-05,1.08
1974-04-08,1.07
1974-04-09,1.08
1974-04-10,1.08
1974-04-11,1.08
1974-04-15,1.10
1974-04-16,1.13
1974-04-17,1.13
1974-04-18,1.16
1974-04-19,1.14
1974-04-22,1.13
1974-04-23,1.10
1974-04-24,1.08
1974-04-25,1.08
1974-04-26,1.11
1974-04-29,1.11
1974-04-30,1.10
1974-05-01,1.11
1974-05-02,1.10
1974-05-03,1.07
1974-05-06,1.07
1974-05-07,1.07
1974-05-08,1.03
1974-05-09,1.07
1974-05-10,1.06
1974-05-13,1.00
1974-05-14,1.00
1974-05-15,1.02
1974-05-16,1.03
1974-05-17,1.00
1974-05-20,0.97
1974-05-21,0.97
1974-05-22,0.97
1974-05-23,0.97
1974-05-24,1.02
1974-05-28,1.03
1974-05-29,1.06
1974-05-30,1.03
1974-05-31,1.03
1974-06-03,1.03
1974-06-04,1.10
1974-06-05,1.13
1974-06-06,1.14
1974-06-07,1.16
1974-06-10,1.16
1974-06-11,1.18
1974-06-12,1.18
1974-06-13,1.19
1974-06-14,1.19
1974-06-17,1.19
1974-06-18,1.18
1974-06-19,1.16
1974-06-20,1.14
1974-06-21,1.11
1974-06-24,1.11
1974-06-25,1.16
1974-06-26,1.14
1974-06-27,1.13
1974-06-28,1.13
1974-07-01,1.13
1974-07-02,1.10
1974-07-03,1.10
1974-07-05,1.07
1974-07-08,1.06
1974-07-09,1.07
1974-07-10,1.06
1974-07-11,1.06
1974-07-12,1.07
1974-07-15,1.08
1974-07-16,1.06
1974-07-17,1.06
1974-07-18,0.99
1974-07-19,0.99
1974-07-22,0.99
1974-07-23,0.97
1974-07-24,0.96
1974-07-25,0.97
1974-07-26,0.93
1974-07-29,0.91
1974-07-30,0.91
1974-07-31,0.91
1974-08-01,0.91
1974-08-02,0.91
1974-08-05,0.91
1974-08-06,0.91
1974-08-07,0.94
1974-08-08,0.91
1974-08-09,0.88
1974-08-12,0.88
1974-08-13,0.83
1974-08-14,0.79
1974-08-15,0.78
1974-08-16,0.77
1974-08-19,0.78
1974-08-20,0.78
1974-08-21,0.78
1974-08-22,0.78
1974-08-23,0.77
1974-08-26,0.75
1974-08-27,0.77
1974-08-28,0.78
1974-08-29,0.75
1974-08-30,0.77
1974-09-03,0.77
1974-09-04,0.75
1974-09-05,0.78
1974-09-06,0.78
1974-09-09,0.78
1974-09-10,0.78
1974-09-11,0.78
1974-09-12,0.77
1974-09-13,0.75
1974-09-16,0.75
1974-09-17,0.75
1974-09-18,0.74
1974-09-19,0.75
1974-09-20,0.75
1974-09-23,0.72
1974-09-24,0.71
1974-09-25,0.69
1974-09-26,0.67
1974-09-27,0.63
1974-09-30,0.58
1974-10-01,0.60
1974-10-02,0.58
1974-10-03,0.54
1974-10-04,0.56
1974-10-07,0.60
1974-10-08,0.60
1974-10-09,0.63
1974-10-10,0.66
1974-10-11,0.72
1974-10-14,0.75
1974-10-15,0.74
1974-10-16,0.74
1974-10-17,0.72
1974-10-18,0.74
1974-10-21,0.75
1974-10-22,0.82
1974-10-23,0.77
1974-10-24,0.75
1974-10-25,0.75
1974-10-28,0.75
1974-10-29,0.75
1974-10-30,0.75
1974-10-31,0.78
1974-11-01,0.79
1974-11-04,0.79
1974-11-05,0.85
1974-11-06,0.86
1974-11-07,0.83
1974-11-08,0.79
1974-11-11,0.79
1974-11-12,0.78
1974-11-13,0.75
1974-11-14,0.74
1974-11-15,0.74
1974-11-18,0.71
1974-11-19,0.71
1974-11-20,0.71
1974-11-21,0.72
1974-11-22,0.72
1974-11-25,0.72
1974-11-26,0.74
1974-11-27,0.74
1974-11-29,0.74
1974-12-02,0.71
1974-12-03,0.69
1974-12-04,0.71
1974-12-05,0.71
1974-12-06,0.69
1974-12-09,0.69
1974-12-10,0.72
1974-12-11,0.72
1974-12-12,0.72
1974-12-13,0.72
1974-12-16,0.72
1974-12-17,0.74
1974-12-18,0.74
1974-12-19,0.74
1974-12-20,0.74
1974-12-23,0.72
