Date,Close
1980-01-02,3.02
1980-01-03,2.97
1980-01-04,3.03
1980-01-07,3.01
1980-01-08,2.90
1980-01-09,2.88
1980-01-10,2.86
1980-01-11,2.86
1980-01-14,2.92
1980-01-15,3.02
1980-01-16,3.04
1980-01-17,3.04
1980-01-18,3.08
1980-01-21,3.17
1980-01-22,3.18
1980-01-23,3.18
1980-01-24,3.30
1980-01-25,3.27
1980-01-28,3.29
1980-01-29,3.29
1980-01-30,3.29
1980-01-31,3.26
1980-02-01,3.29
1980-02-04,3.29
1980-02-05,3.46
1980-02-06,3.64
1980-02-07,3.87
1980-02-08,4.03
1980-02-11,3.97
1980-02-12,3.94
1980-02-13,3.95
1980-02-14,3.80
1980-02-15,3.86
1980-02-19,3.92
1980-02-20,3.98
1980-02-21,4.04
1980-02-22,4.15
1980-02-25,4.03
1980-02-26,4.08
1980-02-27,3.97
1980-02-28,3.92
1980-02-29,3.96
1980-03-03,3.93
1980-03-04,3.96
1980-03-05,3.95
1980-03-06,3.82
1980-03-07,3.71
1980-03-10,3.68
1980-03-11,3.58
1980-03-12,3.60
1980-03-13,3.60
1980-03-14,3.55
1980-03-17,3.39
1980-03-18,3.43
1980-03-19,3.55
1980-03-20,3.48
1980-03-21,3.43
1980-03-24,3.35
1980-03-25,3.39
1980-03-26,3.38
1980-03-27,3.35
1980-03-28,3.45
1980-03-31,3.52
1980-04-01,3.47
1980-04-02,3.48
1980-04-03,3.43
1980-04-07,3.35
1980-04-08,3.36
1980-04-09,3.40
1980-04-10,3.37
1980-04-11,3.35
1980-04-14,3.30
1980-04-15,3.31
1980-04-16,3.26
1980-04-17,3.08
1980-04-18,3.07
1980-04-21,2.99
1980-04-22,3.20
1980-04-23,3.23
1980-04-24,3.14
1980-04-25,3.23
1980-04-28,3.14
1980-04-29,3.14
1980-04-30,3.14
1980-05-01,3.11
1980-05-02,3.18
1980-05-05,3.17
1980-05-06,3.20
1980-05-07,3.27
1980-05-08,3.28
1980-05-09,3.25
1980-05-12,3.27
1980-05-13,3.28
1980-05-14,3.24
1980-05-15,3.19
1980-05-16,3.19
1980-05-19,3.20
1980-05-20,3.21
1980-05-21,3.24
1980-05-22,3.31
1980-05-23,3.53
1980-05-27,3.67
1980-05-28,3.69
1980-05-29,3.52
1980-05-30,3.59
1980-06-02,3.57
1980-06-03,3.51
1980-06-04,3.66
1980-06-05,3.70
1980-06-06,3.66
1980-06-09,3.65
1980-06-10,3.69
1980-06-11,3.74
1980-06-12,3.76
1980-06-13,3.69
1980-06-16,3.70
1980-06-17,3.61
1980-06-18,3.66
1980-06-19,3.57
