Date,Close
1970-01-02,1.94
1970-01-05,1.97
1970-01-06,1.96
1970-01-07,1.95
1970-01-08,1.96
1970-01-09,1.96
1970-01-12,1.95
1970-01-13,1.94
1970-01-14,1.95
1970-01-15,1.93
1970-01-16,1.93
1970-01-19,1.93
1970-01-20,1.93
1970-01-21,1.92
1970-01-22,1.91
1970-01-23,1.88
1970-01-26,1.89
1970-01-27,1.88
1970-01-28,1.82
1970-01-29,1.78
1970-01-30,1.76
1970-02-02,1.75
1970-02-03,1.79
1970-02-04,1.78
1970-02-05,1.78
1970-02-06,1.73
1970-02-09,1.73
1970-02-10,1.66
1970-02-11,1.68
1970-02-12,1.63
1970-02-13,1.63
1970-02-16,1.57
1970-02-17,1.57
1970-02-18,1.65
1970-02-19,1.68
1970-02-20,1.72
1970-02-24,1.71
1970-02-25,1.74
1970-02-26,1.69
1970-02-27,1.69
1970-03-02,1.67
1970-03-03,1.66
1970-03-04,1.67
1970-03-05,1.69
1970-03-06,1.67
1970-03-09,1.65
1970-03-10,1.68
1970-03-11,1.71
1970-03-12,1.71
1970-03-13,1.71
1970-03-16,1.70
1970-03-17,1.70
1970-03-18,1.72
1970-03-19,1.72
1970-03-20,1.73
1970-03-23,1.72
1970-03-24,1.75
1970-03-25,1.79
1970-03-26,1.79
1970-03-30,1.80
1970-03-31,1.79
1970-04-01,1.80
1970-04-02,1.80
1970-04-03,1.80
1970-04-06,1.79
1970-04-07,1.76
1970-04-08,1.76
1970-04-09,1.77
1970-04-10,1.75
1970-04-13,1.75
1970-04-14,1.75
1970-04-15,1.75
1970-04-16,1.73
1970-04-17,1.69
1970-04-20,1.68
1970-04-21,1.70
1970-04-22,1.70
1970-04-23,1.70
1970-04-24,1.70
1970-04-27,1.68
1970-04-28,1.68
1970-04-29,1.69
1970-04-30,1.68
1970-05-01,1.69
1970-05-04,1.68
1970-05-05,1.68
1970-05-06,1.70
1970-05-07,1.67
1970-05-08,1.66
1970-05-11,1.65
1970-05-12,1.64
1970-05-13,1.61
1970-05-14,1.62
1970-05-15,1.67
1970-05-18,1.69
1970-05-19,1.65
1970-05-20,1.65
1970-05-21,1.64
1970-05-22,1.64
1970-05-25,1.60
1970-05-26,1.61
1970-05-27,1.66
1970-05-28,1.73
1970-05-29,1.77
1970-06-01,1.78
1970-06-02,1.78
1970-06-03,1.78
1970-06-04,1.74
1970-06-05,1.70
1970-06-08,1.70
1970-06-09,1.70
1970-06-10,1.69
1970-06-11,1.69
1970-06-12,1.70
1970-06-15,1.70
1970-06-16,1.74
1970-06-17,1.75
1970-06-18,1.77
1970-06-19,1.79
1970-06-22,1.79
1970-06-23,1.77
1970-06-24,1.75
1970-06-25,1.76
1970-06-26,1.72
1970-06-29,1.71
1970-06-30,1.71
1970-07-01,1.71
1970-07-02,1.71
1970-07-06,1.67
1970-07-07,1.67
1970-07-08,1.70
1970-07-09,1.71
1970-07-10,1.76
1970-07-13,1.77
1970-07-14,1.75
1970-07-15,1.77
1970-07-16,1.84
1970-07-17,1.86
1970-07-20,1.87
1970-07-21,1.86
1970-07-22,1.83
1970-07-23,1.87
1970-07-24,1.87
